icao24,origin_country,velocity,geo_altitude
aa9830,United States,False,
aaf9c1,United States,False,
a4683f,United States,True,
a34878,United States,False,
a56204,United States,False,
780b0c,China,False,
a0c223,United States,False,
a3484e,United States,False,
a1087a,United States,False,
a08576,United States,False,
781e51,China,False,
ab3c0a,United States,False,
a0d561,United States,False,
781e4c,China,False,
a1f526,United States,False,
a3defb,United States,False,
780b34,China,False,
a25bb7,United States,False,
8a06d0,Indonesia,False,
aad3a0,United States,False,
a810d7,United States,False,
a810ba,United States,False,
a98c7a,United States,False,
a20288,United States,False,
a2abda,United States,False,
89649d,United Arab Emirates,False,
a3355e,United States,False,
a1925f,United States,True,
c2b5b7,Canada,False,
